=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-9-23_10-34-7
====================================================================================
10:34:7 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
10:34:7 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
10:34:7 | [PermissionManager] Perm (FreeCamera) has been registered!
10:34:7 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
10:34:7 | [PermissionManager] Perm (MenuItemManager) has been registered!
10:34:7 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
10:34:7 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
10:34:7 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
10:34:7 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
10:34:7 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
10:34:7 | [PermissionManager] Perm (MenuServerManager) has been registered!
10:34:7 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
10:34:7 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
10:34:7 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
10:34:7 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
10:34:7 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
10:34:7 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
10:34:7 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
10:34:7 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
10:34:7 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
10:34:7 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
10:34:7 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
10:34:7 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
10:34:7 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
10:34:7 | [PermissionManager] Perm (MenuObjectManager) has been registered!
10:34:7 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
10:34:7 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
10:34:7 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
10:34:7 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
10:34:7 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
10:34:7 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
10:34:7 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
10:34:7 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
10:34:7 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
10:34:7 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
10:34:7 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
10:34:7 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
10:34:7 | [PermissionManager] Perm (MenuBansManager) has been registered!
10:34:7 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
10:34:7 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
10:34:7 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
10:34:7 | [PermissionManager] Perm (MenuWebHooks) has been registered!
10:34:7 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
10:34:7 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
10:34:7 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
10:34:7 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
10:34:7 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
10:34:7 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
10:34:7 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
10:34:7 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
10:34:7 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
10:34:7 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
10:34:7 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
10:34:7 | [PermissionManager] Perm (EspToolsMenu) has been registered!
10:34:7 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
10:34:7 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
10:34:7 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
10:34:7 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
10:34:7 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
10:34:7 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
10:34:7 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
10:34:7 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
10:34:7 | [PermissionManager] Adding Super Admin (76561198063550007)
10:34:7 | [PermissionManager] Adding Super Admin (76561198069476650)
10:34:7 | [PermissionManager] Loaded UserGroups.json
10:34:7 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
10:34:7 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
10:34:7 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
10:34:7 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
10:34:7 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:NamalskRunEvent) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
10:34:7 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
10:34:7 | Building Sets Loaded: 0
10:34:7 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
10:35:31 | Player "Survivor" (steamId=76561198116496738) connected to server!
10:35:44 | Player "PhattSausage" (steamId=76561198063550007) connected to server!
10:36:54 | Player "PhattSausage" (steamId=76561198063550007) connected to server!
11:7:25 | Player "Survivor" (steamId=76561198116496738) disconnected from server.
11:7:34 | Player "Survivor" (steamId=76561198116496738) disconnected from server.
11:22:29 | Player "PhattSausage" (steamId=76561198063550007) disconnected from server.
11:22:31 | Player "PhattSausage" (steamId=76561198063550007) disconnected from server.
11:43:16 | Player "CheesyBoi" (steamId=76561198069476650) connected to server!
11:43:33 | Player "CheesyBoi" (steamId=76561198069476650) connected to server!
11:44:7 | "CheesyBoi" (steamid=76561198069476650) /strip used on: "CheesyBoi" (steamid=76561198069476650)
11:44:12 | "CheesyBoi" (steamid=76561198069476650) /kill used on: "CheesyBoi" (steamid=76561198069476650)
11:45:11 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4390.533691, 22.021423, 10758.346680>)
11:45:13 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4388.253906, 21.613329, 10750.061523>)
11:45:34 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_ModDMRSnow_762)
11:45:35 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_ModDMRTwotone_556)
11:46:9 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_ModDMRSnow_556)
11:46:34 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_TAVOR_DMR)
11:46:56 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_M4DMR)
11:48:44 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_M1A_Snow)
11:48:54 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_M14_Snow)
11:49:8 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (SNAFU_M14)
11:49:26 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_M1Garand)
11:49:32 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_M1Garand)
11:49:44 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_kar98k)
11:50:5 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_LeeEnfield)
11:50:6 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_LeeEnfield)
11:50:23 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_SVT40)
11:51:4 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (WE_M82)
11:51:24 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (WE_Mag_M82_10Rnd)
11:51:42 | "CheesyBoi" (steamid=76561198069476650) toggled godmode
11:51:44 | "CheesyBoi" (steamid=76561198069476650) /heal used on: "CheesyBoi" (steamid=76561198069476650)
11:52:18 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_M82_gold)
11:52:19 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_M82_5rnd_Mag)
11:52:44 | "CheesyBoi" (steamid=76561198069476650) Spawned Item: (TTC_M82_5rnd_Mag)
11:53:11 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4389.928711, 14.982457, 10716.390625>)
11:53:12 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4377.183105, 15.042911, 10719.291016>)
11:53:12 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4368.515625, 15.611903, 10721.250977>)
11:53:13 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4388.020508, 21.024637, 10746.903320>)
11:53:14 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4388.024902, 22.663139, 10750.075195>)
11:53:16 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4388.156738, 23.372225, 10750.069336>)
11:53:16 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4392.762207, 23.997814, 10754.209961>)
11:53:17 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4398.469727, 23.905096, 10759.336914>)
11:53:17 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4427.769043, 15.211580, 10789.354492>)
11:53:18 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4432.494141, 15.256240, 10796.780273>)
11:53:18 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4432.880371, 15.713823, 10797.659180>)
11:53:18 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4437.792480, 15.068159, 10804.064453>)
11:53:18 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4438.201172, 15.669010, 10804.512695>)
11:53:19 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4440.660645, 16.395956, 10807.725586>)
11:53:19 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4442.422363, 17.142920, 10810.144531>)
11:53:19 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4447.047852, 17.580574, 10815.687500>)
11:53:19 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4462.143066, 16.837008, 10833.827148>)
11:53:19 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4477.045410, 17.168049, 10851.642578>)
11:53:21 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4466.980469, 15.937088, 10843.377930>)
11:53:22 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4462.853027, 16.704718, 10839.341797>)
11:53:35 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4448.492188, 16.184893, 10815.295898>)
11:53:36 | "CheesyBoi" (steamid=76561198069476650) teleported to crosshair (pos=<4445.255371, 16.963003, 10807.812500>)
